approach,split,cluster,contracts,events,series,dominant_series,dominant_series_share,category,mean_price,price_sd,price_p10,price_p90,mean_text_cosine,representative_titles
text,train,0,291,280,11,HIGHNY,0.17525773195876287,unavailable,0.24619971966992246,0.16773384748914835,0.05226086956521739,0.4908888888888889,0.7855610936552355,"Will the **high temp in Miami** be 82-83° on Oct 17, 2023? 82° to 83° | Will the **high temp in Miami** be 82-83° on Apr 28, 2025? 82° to 83° | Will the **high temp in Miami** be 82-83° on Apr 17, 2025? 82° to 83° | Will the **high temp in Miami** be 82-83° on Apr 6, 2025? 82° to 83° | Will the **high temp in Miami** be 82-83° on Apr 29, 2025? 82° to 83°"
text,train,1,558,238,131,KXTRUMPMENTION,0.22939068100358423,unavailable,0.489530161852032,0.2479959411587657,0.1668,0.8449090909090909,0.9350112323386811,"What will Pete Hegseth say during remarks at the National Defense University on November 7th? DEI | What will Trump say during his speech at the Macomb County Rally? Israel | What will Trump say during his speech at the Macomb County Rally? Sleepy Joe | What will Trump say during his speech at the Macomb County Rally? El Salvador | What will Peter Schiff say during ThreadGuy livestream ""The Gold Cycle"" on October 22nd? Crash"
text,train,2,1087,831,20,HIGHNY,0.32842686292548295,unavailable,0.20894601779467534,0.16940470045839098,0.029592165898617514,0.4524140786749482,0.79623306310398,"Will the **high temp in NYC** be 60-61° on Apr 17, 2025? 60° to 61° | Will the **high temp in NYC** be 60-61° on Mar 18, 2025? 60° to 61° | Will the **high temp in NYC** be 60-61° on Mar 17, 2024? 60° to 61° | Will the **high temp in NYC** be 60-61° on Oct 31, 2025? 60° to 61° | Will the **high temp in NYC** be 60-61° on Mar 4, 2024? 60° to 61°"
text,train,3,912,497,23,KXBTCD,0.6864035087719298,unavailable,0.5035577468053029,0.2519884712300131,0.1457142857142857,0.84655,0.8928599572846903,"Bitcoin price  on Aug 21, 2024? $61,250 or above | Bitcoin price  on Sep 17, 2024? $61,250 or above | Bitcoin price  on Aug 28, 2024? $60,250 or above | Bitcoin price  on Jul 10, 2024? $59,000 or above | Bitcoin price  on May 10, 2025? $103,250 or above"
text,train,4,1916,1498,127,HIGHMIA,0.1440501043841336,unavailable,0.27863295678768324,0.19590473573281364,0.04875,0.5305681818181818,0.4837705182776832,"Xfinity 500Winner Chase Briscoe | Nobel Literature prize Enrique Vila-Matas | Will the **high temp in Miami** be >96° on Oct 13, 2023? 97° or above | Will the **high temp in Miami** be >97° on Jul 25, 2023? 98° or above | Will the **high temp in Miami** be >96° on Aug 11, 2023? 97° or above"
text,train,5,743,598,4,HIGHCHI,0.639300134589502,unavailable,0.2542303807872174,0.18231629531831642,0.047764705882352945,0.474217391304348,0.8386326283079437,"Will the high temp in Chicago be 48-49° on Apr 22, 2023? 48° to 49° | Will the high temp in Chicago be 48-49° on Oct 18, 2022? 48° to 49° | Will the high temp in Chicago be 29-30° on Feb 17, 2023? 29° to 30° | Will the high temp in Chicago be 17-18° on Jan 20, 2024? 17° to 18° | Will the high temp in Chicago be 48-49° on Mar 6, 2024? 48° to 49°"
text,train,6,787,400,4,KXBTC,0.7407878017789072,unavailable,0.16056345854090617,0.1237863200145299,0.020482449589245704,0.3245357142857142,0.8865037982573881,"Bitcoin price range  on Jun 25, 2024? $61,000 to 61,499.99 | Bitcoin price range  on Oct 4, 2024? $61,500 to 61,999.99 | Bitcoin price range  on Sep 19, 2024? $62,500 to 62,999.99 | Bitcoin price range  on Jul 10, 2024? $57,000 to 57,499.99 | Bitcoin price range  on Aug 14, 2024? $60,000 to 60,499.99"
text,train,7,413,357,39,KXSPOTIFYD,0.3171912832929782,unavailable,0.4010750541600632,0.3305687161587312,0.028000000000000008,0.9094000000000001,0.8770387591594155,"Will the top Song on Feb 14, 2025 be CELIBACY? CELIBACY | Will the top Song on Feb 14, 2025 be LASERS? LASERS | Will the top Song on Feb 2, 2025 be Timeless? Timeless | Will the top Song on Jan 26, 2025 be DtMF? DtMF | Will the top Song on Jan 20, 2025 be DtMF? DtMF"
text,train,8,318,203,7,KXNBATOTAL,0.6289308176100629,unavailable,0.5230508754097983,0.17522270374813217,0.30476315789473685,0.7783500000000001,0.9866871020360225,Toronto at San Antonio: Total Points Over 235.5 points scored | Brooklyn at San Antonio: Total Points Over 215.5 points scored | Indiana at Detroit: Total Points Over 225.5 points scored | Indiana at Detroit: Total Points Over 234.5 points scored | Brooklyn at San Antonio: Total Points Over 212.5 points scored
text,train,9,557,498,104,HIGHNY,0.12746858168761221,unavailable,0.4809723393905461,0.27972083398565484,0.10903846153846154,0.8682575757575759,0.7231879231439071,"Will there be more than 138,000 new COVID-19 cases on Thursday? Above 138,000 | Will there be more than 127,000 new COVID-19 cases on Monday? Above 127,000 | Will more than 3000000 people ride the **subway in New York City** on average this week? Above 3000000 | Will more than 2500000 people ride the **subway in New York City** on average this week? Above 2500000 | Will there be over 1.2 million new COVID-19 cases for the week ending September 1st, 2021? Above 1,200,000"
